City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,brejo da madre de deus,-8.1458,-36.3711,290.54,93,20,2.88,BR,1698648396
84,san marcos,33.1434,-117.1661,291.44,19,0,1.54,US,1698648362
85,haiku-pauwela,20.9219,-156.3051,297.62,77,20,5.14,US,1698648392
86,boden,65.8252,21.6886,266.15,91,36,1.6,SE,1698648366
87,hermanus,-34.4187,19.2345,288.8,52,0,9.29,ZA,1698648397
88,angaur state,6.906,134.13,301.78,74,15,4.51,PW,1698648397
89,villa dolores,-31.9459,-65.1896,294.64,65,5,6.42,AR,1698648398
90,zhob,31.3411,69.4481,297.22,20,0,0.81,PK,1698648398
91,talnakh,69.4865,88.3972,256.04,93,94,2.23,RU,1698648398
92,kolonia,50.9333,6.95,286.25,84,20,4.12,DE,1698648308
93,longyearbyen,78.2186,15.6401,268.06,86,40,6.17,SJ,1698648399
94,hithadhoo,-0.6,73.0833,300.44,78,32,6.16,MV,1698648399
95,beau vallon,-20.4189,57.6953,301.6,65,40,5.14,MU,1698648399
96,nallihan,40.1859,31.3518,292.8,57,98,1.31,TR,1698648400
97,santa terezinha,-29.9002,-50.0904,292.74,92,5,1.32,BR,1698648400
98,albany,42.6001,-73.9662,280.58,93,100,1.34,US,1698648279
99,east london,-33.0153,27.9116,288.2,58,100,4.64,ZA,1698648308
100,port elizabeth,-33.918,25.5701,289.99,65,75,5.14,ZA,1698648349
101,tokmak,47.2514,35.7058,288.15,53,100,4.13,UA,1698648401
102,puerto natales,-51.7236,-72.4875,274.27,96,100,1.12,CL,1698648401
103,lihue,21.9789,-159.3672,297.92,81,100,4.12,US,1698648401
104,siniscola,40.5719,9.6922,287.9,91,96,4.7,IT,1698648402
105,sittwe,20.15,92.9,302.33,69,31,2.5,MM,1698648402
106,abalak,58.1286,68.5944,268.9,70,96,5.35,RU,1698648402
107,barsukovskaya,44.7632,41.8191,291.23,53,0,1.99,RU,1698648403
108,puerto ayora,-0.7393,-90.3518,296.79,92,89,1.79,EC,1698648403
109,college,64.8569,-147.8028,270.12,87,100,1.54,US,1698648403
110,todos santos,23.45,-110.2167,294.99,84,0,2.49,MX,1698648403
111,ekuvukeni,-28.4675,30.1551,282.98,49,67,3.67,ZA,1698648404
112,thompson,55.7435,-97.8558,267.24,79,75,4.12,CA,1698648179
113,zalingei,12.9096,23.4741,302.96,17,14,5.12,SD,1698648404
114,manado,1.487,124.8455,304.58,58,40,2.57,ID,1698648310
115,petropavlovsk-kamchatsky,53.0452,158.6483,276.18,59,40,2.0,RU,1698648404
116,atafu village,-8.5421,-172.5159,302.33,69,14,6.7,TK,1698648402
117,sao joao da barra,-21.6403,-41.0511,295.77,96,100,0.96,BR,1698648405
118,egilsstadir,65.2653,-14.3948,271.1,93,20,2.06,IS,1698648405
119,roma,43.2128,-75.4557,281.53,93,100,5.14,US,1698648405
120,pa sang,18.5262,98.9394,305.4,51,71,1.25,TH,1698648405
121,freetown,8.484,-13.2299,299.99,89,40,1.54,SL,1698648406
122,bei'an,24.5399,109.533,299.87,53,100,3.34,CN,1698648406
123,ilulissat,69.2167,-51.1,276.16,56,100,7.2,GL,1698648406
124,kodiak,57.79,-152.4072,280.88,100,100,4.12,US,1698648401
125,kapuskasing,49.4169,-82.4331,271.15,86,100,1.03,CA,1698648407
126,mount isa,-20.7333,139.5,308.02,28,40,4.63,AU,1698648407
127,glace bay,46.1969,-59.957,278.03,83,75,3.09,CA,1698648369
128,greymouth,-42.4667,171.2,284.06,74,100,2.19,NZ,1698648407
129,kanye,-24.9667,25.3327,284.05,75,100,10.53,BW,1698648407
130,nova sintra,14.8667,-24.7167,296.53,64,100,2.43,CV,1698648407
131,constantia,44.1833,28.65,291.53,61,0,3.33,RO,1698648408
132,san patricio,28.017,-97.5169,287.5,66,77,9.3,US,1698648408
133,tura,25.5198,90.2201,301.41,55,2,1.36,IN,1698648408
134,edinburgh of the seven seas,-37.0676,-12.3116,284.34,66,100,13.27,SH,1698648408
135,santa sylvina,-27.8326,-61.1375,294.78,91,100,3.75,AR,1698648408
136,vernon,50.2581,-119.2691,273.31,67,8,2.57,CA,1698648409
137,digras,20.1167,77.7167,302.71,36,7,3.73,IN,1698648409
138,lompoc,34.6391,-120.4579,283.47,67,0,3.6,US,1698648409
139,udachny,66.4167,112.4,254.51,70,100,3.89,RU,1698648409
140,mareeba,-17.0,145.4333,301.73,48,18,4.61,AU,1698648409
141,boguchany,58.3814,97.4531,265.29,79,83,1.34,RU,1698648409
142,moose jaw,50.4001,-105.5344,267.29,79,22,7.2,CA,1698648410
143,vilyuysk,63.7553,121.6247,264.82,86,94,2.68,RU,1698648410
144,qarauyl,48.9451,79.255,286.37,72,99,12.1,KZ,1698648410
145,misratah,32.3754,15.0925,296.6,70,10,6.26,LY,1698648410
146,sola,-13.8833,167.55,298.52,94,100,0.0,VU,1698648410
147,nazca,-14.8333,-74.95,293.74,70,5,0.8,PE,1698648410
148,brush,40.2589,-103.6238,265.04,92,5,4.12,US,1698648411
149,holualoa,19.6228,-155.9522,298.06,74,0,4.12,US,1698648411
150,copala,16.65,-98.9833,298.26,89,8,1.28,MX,1698648411
151,wangjing,24.6,94.0333,300.14,53,67,0.37,IN,1698648411
152,cannonvale,-20.2833,148.7,297.81,55,30,5.19,AU,1698648411
153,fort mcmurray,56.7268,-111.381,268.88,80,100,3.6,CA,1698648340
154,luderitz,-26.6481,15.1594,295.14,39,0,1.7,NA,1698648412
155,sakaiminato,35.55,133.2333,293.11,55,20,4.63,JP,1698648412
156,kralendijk,12.15,-68.2667,300.14,89,100,2.06,BQ,1698648412
157,stanley,54.868,-1.6985,279.97,91,40,1.03,GB,1698648412
158,crane,31.3974,-102.3501,276.3,65,100,8.22,US,1698648412
159,acarau,-2.8856,-40.12,298.68,78,61,6.9,BR,1698648333
160,okhotsk,59.3833,143.3,269.28,75,23,1.11,RU,1698648413
161,namibe,-15.1961,12.1522,295.11,73,0,2.66,AO,1698648413
162,dwarka,22.2394,68.9678,304.41,39,5,4.7,IN,1698648413
163,kyren,51.6828,102.1408,272.56,46,93,0.45,RU,1698648413
164,nemuro,43.3236,145.575,282.85,64,0,1.83,JP,1698648413
165,qaqortoq,60.7167,-46.0333,277.57,73,100,7.73,GL,1698648414
166,ghat,24.9647,10.1728,298.68,20,0,1.73,LY,1698648414
167,chhabra,24.6667,76.8333,304.5,25,44,1.56,IN,1698648414
168,yellowknife,62.456,-114.3525,261.71,96,0,1.54,CA,1698648313
169,hanceville,34.0607,-86.7675,291.1,81,0,1.81,US,1698648305
170,vilyuchinsk,52.9306,158.4028,277.0,71,31,3.05,RU,1698648384
171,port mathurin,-19.6833,63.4167,298.23,77,3,6.46,MU,1698648415
172,margaret river,-33.95,115.0667,290.44,50,3,6.7,AU,1698648415
173,nadym,65.5333,72.5167,262.49,79,12,1.5,RU,1698648415
174,fort frances,48.5999,-93.4003,265.4,85,99,0.45,CA,1698648415
175,hami,42.8,93.45,290.6,25,99,2.33,CN,1698648415
